Car_Name,Brand,Model,Variant,Year,Age_Years,Km_Driven,Fuel_Type,Transmission,Owner,Seller_Type,Mileage_kmpl,Engine_CC,Max_Power_BHP,Torque_Nm,Seats,Original_Price_L,Selling_Price_L
Tata Tiago XZ+ 2017,Tata,Tiago,XZ+,2017,7,40086,Petrol,Automatic,First Owner,Individual,21.9,1199,74.1,162,5,8.1,4.15
Jeep Meridian Limited 2023,Jeep,Meridian,Limited,2023,1,10960,Diesel,Automatic,First Owner,Individual,23.6,1956,111.6,279,7,29.9,24.73
Tata Harrier Smart 2014,Tata,Harrier,Smart,2014,10,101282,Diesel,Manual,First Owner,Individual,24.1,1956,122.6,275,5,15.49,7.38
Hyundai Santro Magna 2023,Hyundai,Santro,Magna,2023,1,10658,Petrol,Manual,First Owner,Trustmark Dealer,15.3,1086,70.4,174,5,4.77,4.29
Maruti WagonR VXI 2020,Maruti,WagonR,VXI,2020,4,32760,Petrol,Manual,First Owner,Trustmark Dealer,15.4,998,69.2,156,5,5.99,4.09
MG Hector Plus Sharp 2017,MG,Hector Plus,Sharp,2017,7,61780,Diesel,Manual,First Owner,Individual,25.3,1956,154.8,357,6,20.99,12.12
Volkswagen Polo Trendline 2022,Volkswagen,Polo,Trendline,2022,2,16671,Petrol,Manual,Second Owner,Trustmark Dealer,15.5,999,63.5,145,5,7.54,5.39
Renault Kwid RXT 2021,Renault,Kwid,RXT,2021,3,43179,Petrol,Automatic,Third Owner,Dealer,21.8,999,58.1,112,5,5.9,3.57
Tata Tiago XT 2019,Tata,Tiago,XT,2019,5,64465,Petrol,Manual,Second Owner,Dealer,17.4,1199,69.3,148,5,7.2,4.0
Mahindra XUV700 AX7 L 2015,Mahindra,XUV700,AX7 L,2015,9,81124,Diesel,Automatic,Second Owner,Individual,22.0,2184,162.3,359,7,26.99,12.14
Renault Duster RXE 2019,Renault,Duster,RXE,2019,5,64204,Petrol,Manual,First Owner,Dealer,17.2,1498,119.0,262,5,9.99,6.2
MG ZS EV Excite 2014,MG,ZS EV,Excite,2014,10,110115,Electric,Automatic,Second Owner,Dealer,382.9,0,98.6,202,5,22.58,9.8
Maruti WagonR LXI 2014,Maruti,WagonR,LXI,2014,10,112881,Petrol,Manual,First Owner,Individual,17.1,998,78.4,196,5,5.47,2.18
Tata Altroz XZ+ 2017,Tata,Altroz,XZ+,2017,7,65403,Diesel,Manual,Second Owner,Individual,19.7,1497,102.6,203,5,9.99,4.77
Maruti Baleno Zeta 2019,Maruti,Baleno,Zeta,2019,5,53751,Petrol,Manual,First Owner,Dealer,20.2,1197,82.8,164,5,8.45,5.2
Maruti Swift LXI 2017,Maruti,Swift,LXI,2017,7,68835,Petrol,Manual,Second Owner,Individual,15.0,1197,67.7,175,5,5.99,2.76
Tata Nexon Smart 2020,Tata,Nexon,Smart,2020,4,23756,Petrol,Manual,First Owner,Individual,16.2,1199,77.7,148,5,8.1,5.36
Toyota Fortuner 4x4 AT 2018,Toyota,Fortuner,4x4 AT,2018,6,84757,Diesel,Automatic,First Owner,Individual,25.3,2755,181.0,427,7,40.57,24.67
Volkswagen Taigun Topline 2022,Volkswagen,Taigun,Topline,2022,2,27462,Petrol,Automatic,Second Owner,Dealer,19.2,999,61.1,129,5,15.99,11.86
Kia Seltos HTE 2017,Kia,Seltos,HTE,2017,7,82116,Petrol,Manual,First Owner,Dealer,19.6,1497,95.6,240,5,10.9,5.77
Maruti WagonR VXI 2013,Maruti,WagonR,VXI,2013,11,107575,Petrol,Manual,Third Owner,Individual,17.1,998,62.8,120,5,5.99,1.79
Renault Triber RXE 2014,Renault,Triber,RXE,2014,10,90802,Petrol,Manual,Second Owner,Individual,18.2,999,61.2,115,7,5.99,2.21
Tata Tiago XZ+ 2015,Tata,Tiago,XZ+,2015,9,94021,Petrol,Automatic,First Owner,Dealer,18.8,1199,76.3,154,5,8.1,3.58
Maruti Baleno Delta 2020,Maruti,Baleno,Delta,2020,4,35315,Petrol,Manual,Third Owner,Individual,15.6,1197,74.2,167,5,7.45,3.94
Tata Nexon Smart 2013,Tata,Nexon,Smart,2013,11,89996,Petrol,Manual,Second Owner,Trustmark Dealer,17.2,1199,68.0,141,5,8.1,2.75
Mahindra XUV700 AX7 L 2020,Mahindra,XUV700,AX7 L,2020,4,27298,Diesel,Automatic,Second Owner,Individual,26.5,2184,136.0,345,7,26.99,16.7
Toyota Glanza E 2013,Toyota,Glanza,E,2013,11,106988,Petrol,Manual,Second Owner,Individual,19.9,1197,93.0,235,5,6.85,2.28
Volkswagen Tiguan Elegance 2016,Volkswagen,Tiguan,Elegance,2016,8,91408,Petrol,Automatic,First Owner,Individual,17.5,1984,115.4,254,5,31.99,16.9
Honda Amaze V 2018,Honda,Amaze,V,2018,6,75620,Petrol,Automatic,First Owner,Dealer,17.9,1199,72.0,136,5,9.49,5.35
Maruti Ertiga ZXI+ 2013,Maruti,Ertiga,ZXI+,2013,11,117580,Petrol,Automatic,First Owner,Individual,18.6,1462,85.9,208,7,10.99,4.02
Toyota Glanza V 2018,Toyota,Glanza,V,2018,6,75636,Petrol,Automatic,Third Owner,Individual,17.1,1197,80.9,195,5,8.99,4.12
MG Hector Smart 2020,MG,Hector,Smart,2020,4,56125,Petrol,Manual,First Owner,Individual,17.3,1451,101.7,264,5,14.72,9.44
MG Hector Sharp 2020,MG,Hector,Sharp,2020,4,65118,Petrol,Automatic,First Owner,Dealer,19.9,1451,89.2,185,5,18.99,13.38
Volkswagen Taigun Topline 2016,Volkswagen,Taigun,Topline,2016,8,85451,Petrol,Automatic,Second Owner,Dealer,19.3,999,76.3,194,5,15.99,7.99
Tata Altroz XZ+ 2013,Tata,Altroz,XZ+,2013,11,159166,Diesel,Manual,Second Owner,Individual,18.5,1497,107.9,215,5,9.99,3.0
Mercedes E-Class Progressive 2016,Mercedes,E-Class,Progressive,2016,8,72049,Petrol,Automatic,Second Owner,Individual,15.6,1991,112.9,218,5,77.5,41.06
Maruti Baleno Delta 2016,Maruti,Baleno,Delta,2016,8,98948,Petrol,Manual,Third Owner,Individual,17.0,1197,71.3,181,5,7.45,2.75
Mahindra XUV300 W8 2020,Mahindra,XUV300,W8,2020,4,30884,Diesel,Manual,Second Owner,Individual,26.2,1497,97.5,228,5,12.99,7.84
Volkswagen Taigun Comfortline 2019,Volkswagen,Taigun,Comfortline,2019,5,53148,Petrol,Manual,First Owner,Individual,21.0,999,79.3,161,5,11.55,7.11
Tata Altroz XZ 2015,Tata,Altroz,XZ,2015,9,116297,Petrol,Manual,First Owner,Individual,16.8,1199,80.8,201,5,8.4,3.56
Maruti Celerio LXI 2015,Maruti,Celerio,LXI,2015,9,99367,Petrol,Manual,Second Owner,Individual,19.4,998,60.8,130,5,5.25,2.0
Maruti Swift LXI 2020,Maruti,Swift,LXI,2020,4,31631,Petrol,Manual,Third Owner,Individual,19.6,1197,80.4,168,5,5.99,3.23
Hyundai i20 Asta (O) 2019,Hyundai,i20,Asta (O),2019,5,56790,Diesel,Manual,First Owner,Individual,20.5,1493,88.8,223,5,10.95,6.51
Tata Altroz XE 2021,Tata,Altroz,XE,2021,3,14461,Petrol,Manual,First Owner,Individual,14.8,1199,90.1,171,5,6.6,4.78
BMW 5 Series 520d Sport 2014,BMW,5 Series,520d Sport,2014,10,123328,Diesel,Automatic,First Owner,Individual,23.3,1995,134.2,274,5,65.9,32.66
Kia Carnival Premium 2019,Kia,Carnival,Premium,2019,5,53676,Diesel,Automatic,First Owner,Individual,23.0,2199,168.6,422,8,30.89,19.55
Hyundai i20 Asta (O) 2019,Hyundai,i20,Asta (O),2019,5,41722,Diesel,Manual,Second Owner,Dealer,26.1,1493,82.4,162,5,10.95,6.36
MG Hector Sharp 2017,MG,Hector,Sharp,2017,7,105224,Petrol,Automatic,First Owner,Individual,18.9,1451,86.7,175,5,18.99,10.11
Hyundai Creta SX(O) 2019,Hyundai,Creta,SX(O),2019,5,51823,Diesel,Automatic,First Owner,Trustmark Dealer,26.2,1493,83.2,201,5,18.99,12.53
Maruti Celerio LXI 2023,Maruti,Celerio,LXI,2023,1,11835,Petrol,Manual,First Owner,Trustmark Dealer,19.7,998,65.3,154,5,5.25,4.77
Honda City VX 2018,Honda,City,VX,2018,6,62415,Petrol,Automatic,First Owner,Dealer,19.2,1498,96.4,230,5,14.49,8.44
Maruti Baleno Sigma 2013,Maruti,Baleno,Sigma,2013,11,77513,Petrol,Manual,Fourth & Above Owner,Individual,16.5,1197,87.8,181,5,6.61,1.72
Renault Triber RXE 2015,Renault,Triber,RXE,2015,9,130952,Petrol,Manual,First Owner,Individual,20.0,999,62.6,160,7,5.99,2.44
Skoda Slavia Ambition 2023,Skoda,Slavia,Ambition,2023,1,7834,Petrol,Automatic,First Owner,Individual,15.4,999,74.3,164,5,14.49,11.95
Honda Amaze V 2019,Honda,Amaze,V,2019,5,59496,Petrol,Automatic,Second Owner,Individual,15.6,1199,82.7,170,5,9.49,5.24
Mahindra Scorpio-N Z8 2021,Mahindra,Scorpio-N,Z8,2021,3,36046,Diesel,Automatic,First Owner,Dealer,18.8,2184,120.6,218,7,22.5,17.16
Hyundai Venue S 2023,Hyundai,Venue,S,2023,1,9749,Petrol,Manual,First Owner,Individual,18.4,1197,69.4,176,5,7.53,6.32
Hyundai i20 Sportz 2017,Hyundai,i20,Sportz,2017,7,68272,Petrol,Manual,First Owner,Individual,16.1,1197,90.8,209,5,8.64,4.43
Maruti Swift ZXI 2019,Maruti,Swift,ZXI,2019,5,61013,Petrol,Manual,First Owner,Trustmark Dealer,14.1,1197,82.2,175,5,7.99,4.99
Mahindra XUV700 MX 2016,Mahindra,XUV700,MX,2016,8,68810,Petrol,Manual,First Owner,Individual,18.6,1997,131.7,238,7,13.99,6.83
Renault Kwid RXT 2018,Renault,Kwid,RXT,2018,6,75085,Petrol,Automatic,First Owner,Individual,20.5,999,61.5,150,5,5.9,3.19
Maruti Baleno Zeta 2015,Maruti,Baleno,Zeta,2015,9,67443,Petrol,Manual,Second Owner,Dealer,21.4,1197,89.3,173,5,8.45,3.51
Maruti Alto K10 VXI 2016,Maruti,Alto K10,VXI,2016,8,108305,Petrol,Manual,Second Owner,Individual,19.1,796,49.7,96,5,4.79,1.95
Hyundai i20 Asta (O) 2015,Hyundai,i20,Asta (O),2015,9,57514,Diesel,Manual,Fourth & Above Owner,Dealer,20.1,1493,111.3,255,5,10.95,3.5
Renault Triber RXZ 2019,Renault,Triber,RXZ,2019,5,46297,Petrol,Automatic,Second Owner,Individual,17.2,999,68.4,127,7,8.97,4.99
Maruti Celerio LXI 2019,Maruti,Celerio,LXI,2019,5,54838,Petrol,Manual,Second Owner,Individual,21.2,998,76.0,151,5,5.25,2.91
Mahindra XUV300 W8 2017,Mahindra,XUV300,W8,2017,7,56200,Diesel,Manual,Fourth & Above Owner,Individual,20.1,1497,96.6,224,5,12.99,4.7
MG Hector Sharp 2014,MG,Hector,Sharp,2014,10,61212,Petrol,Automatic,First Owner,Individual,15.5,1451,99.3,200,5,18.99,8.7
Honda City V 2015,Honda,City,V,2015,9,96417,Petrol,Manual,First Owner,Individual,19.4,1498,96.2,189,5,11.89,5.31
Maruti WagonR ZXI 2019,Maruti,WagonR,ZXI,2019,5,30927,Petrol,Automatic,First Owner,Individual,19.1,998,59.6,150,5,6.49,3.94
Honda Amaze V 2018,Honda,Amaze,V,2018,6,35204,Petrol,Automatic,First Owner,Individual,14.3,1199,70.5,134,5,9.49,5.47
Tata Harrier Smart 2019,Tata,Harrier,Smart,2019,5,49042,Diesel,Manual,First Owner,Dealer,19.2,1956,140.4,362,5,15.49,10.49
Mercedes C-Class Progressive 2019,Mercedes,C-Class,Progressive,2019,5,62685,Petrol,Automatic,Second Owner,Individual,19.4,1496,103.7,268,5,55.0,33.55
Skoda Kushaq Active 2014,Skoda,Kushaq,Active,2014,10,89305,Petrol,Manual,Second Owner,Individual,17.8,999,74.7,151,5,10.89,4.01
Maruti Baleno Zeta 2021,Maruti,Baleno,Zeta,2021,3,18775,Petrol,Manual,Third Owner,Individual,19.5,1197,87.0,220,5,8.45,5.05
Maruti Swift ZXI 2023,Maruti,Swift,ZXI,2023,1,11842,Petrol,Manual,First Owner,Individual,15.2,1197,82.4,167,5,7.99,6.67
Volkswagen Taigun Comfortline 2021,Volkswagen,Taigun,Comfortline,2021,3,48324,Petrol,Manual,Second Owner,Individual,20.8,999,59.8,152,5,11.55,7.08
Maruti Swift LXI 2022,Maruti,Swift,LXI,2022,2,20030,Petrol,Manual,First Owner,Individual,14.4,1197,82.5,149,5,5.99,4.57
Maruti Alto K10 VXI 2019,Maruti,Alto K10,VXI,2019,5,52594,Petrol,Manual,First Owner,Individual,20.3,796,56.2,121,5,4.79,2.85
Maruti Dzire VXI 2014,Maruti,Dzire,VXI,2014,10,126599,Petrol,Manual,First Owner,Individual,21.0,1197,67.8,169,5,7.24,2.77
Maruti Baleno Zeta 2023,Maruti,Baleno,Zeta,2023,1,8671,Petrol,Manual,First Owner,Dealer,16.7,1197,79.8,163,5,8.45,7.44
Honda Amaze V 2023,Honda,Amaze,V,2023,1,7966,Petrol,Automatic,First Owner,Dealer,15.6,1199,80.2,199,5,9.49,8.15
Tata Altroz XZ 2016,Tata,Altroz,XZ,2016,8,109596,Petrol,Manual,First Owner,Trustmark Dealer,20.3,1199,88.4,227,5,8.4,3.89
Honda Amaze S 2013,Honda,Amaze,S,2013,11,99864,Petrol,Manual,Second Owner,Individual,15.5,1199,92.4,191,5,7.39,2.44
Maruti Dzire ZXI 2021,Maruti,Dzire,ZXI,2021,3,26307,Petrol,Automatic,First Owner,Individual,15.5,1197,66.0,128,5,8.99,6.4
Kia Seltos GTX+ 2020,Kia,Seltos,GTX+,2020,4,47815,Diesel,Automatic,First Owner,Dealer,21.7,1493,96.7,236,5,19.65,13.99
Tata Nexon Pure 2017,Tata,Nexon,Pure,2017,7,93214,Petrol,Manual,First Owner,Individual,18.7,1199,92.5,193,5,9.5,4.74
Maruti Dzire VXI 2013,Maruti,Dzire,VXI,2013,11,161020,Petrol,Manual,Third Owner,Individual,16.9,1197,85.0,155,5,7.24,2.0
Hyundai i20 Asta (O) 2020,Hyundai,i20,Asta (O),2020,4,51560,Diesel,Manual,First Owner,Trustmark Dealer,25.3,1493,108.5,200,5,10.95,7.57
Maruti Baleno Alpha 2016,Maruti,Baleno,Alpha,2016,8,74417,Petrol,Automatic,First Owner,Trustmark Dealer,20.8,1197,93.7,227,5,9.45,4.65
Volkswagen Taigun Topline 2014,Volkswagen,Taigun,Topline,2014,10,97364,Petrol,Automatic,Second Owner,Trustmark Dealer,21.9,999,62.1,146,5,15.99,6.99
Toyota Glanza E 2019,Toyota,Glanza,E,2019,5,67553,Petrol,Manual,Second Owner,Individual,14.2,1197,90.0,197,5,6.85,3.59
Maruti Ertiga ZXI 2013,Maruti,Ertiga,ZXI,2013,11,160258,Petrol,Manual,First Owner,Individual,19.9,1462,109.6,215,7,9.69,3.19
Renault Kwid RXT 2017,Renault,Kwid,RXT,2017,7,60477,Petrol,Automatic,First Owner,Trustmark Dealer,19.9,999,73.3,136,5,5.9,3.24
Maruti Alto K10 VXI 2015,Maruti,Alto K10,VXI,2015,9,106210,Petrol,Manual,First Owner,Individual,14.4,796,53.7,107,5,4.79,2.1
Hyundai Creta S 2017,Hyundai,Creta,S,2017,7,94541,Petrol,Manual,Fourth & Above Owner,Individual,17.6,1497,85.2,154,5,12.5,4.46
Maruti Alto K10 LXI 2015,Maruti,Alto K10,LXI,2015,9,75016,Petrol,Manual,First Owner,Individual,18.6,796,56.8,123,5,4.34,1.93
Maruti Ertiga ZXI 2022,Maruti,Ertiga,ZXI,2022,2,31832,Petrol,Manual,First Owner,Dealer,17.8,1462,116.5,276,7,9.69,7.76
Renault Duster RXZ 2021,Renault,Duster,RXZ,2021,3,20075,Diesel,Manual,First Owner,Dealer,22.8,1461,90.3,229,5,13.49,10.09
Renault Triber RXE 2017,Renault,Triber,RXE,2017,7,108131,Petrol,Manual,First Owner,Dealer,18.0,999,64.1,160,7,5.99,2.89
Skoda Octavia Style 2017,Skoda,Octavia,Style,2017,7,82680,Petrol,Automatic,First Owner,Dealer,15.3,1498,97.6,245,5,26.29,15.0
Maruti WagonR LXI 2021,Maruti,WagonR,LXI,2021,3,27445,Petrol,Manual,Second Owner,Dealer,18.8,998,70.9,143,5,5.47,3.66
Honda Amaze S 2017,Honda,Amaze,S,2017,7,88495,Petrol,Manual,First Owner,Individual,14.3,1199,95.0,232,5,7.39,3.67
Mahindra Scorpio-N Z2 2013,Mahindra,Scorpio-N,Z2,2013,11,118304,Petrol,Manual,First Owner,Dealer,20.5,1997,137.0,250,7,13.85,5.36
Kia Sonet HTK+ 2022,Kia,Sonet,HTK+,2022,2,31637,Diesel,Manual,First Owner,Trustmark Dealer,26.2,1493,112.5,229,5,11.49,9.17
Honda Amaze V 2022,Honda,Amaze,V,2022,2,25766,Petrol,Automatic,First Owner,Individual,20.1,1199,88.8,215,5,9.49,7.54
Mahindra Scorpio-N Z2 2020,Mahindra,Scorpio-N,Z2,2020,4,46556,Petrol,Manual,First Owner,Dealer,18.2,1997,114.0,231,7,13.85,9.48
Hyundai Santro Sportz 2014,Hyundai,Santro,Sportz,2014,10,134599,Petrol,Manual,First Owner,Individual,15.0,1086,70.8,129,5,5.47,2.02
Maruti Alto K10 VXI 2020,Maruti,Alto K10,VXI,2020,4,38339,Petrol,Manual,Second Owner,Individual,14.6,796,62.5,117,5,4.79,2.91
Toyota Innova Crysta VX 2020,Toyota,Innova Crysta,VX,2020,4,44344,Diesel,Automatic,First Owner,Trustmark Dealer,24.2,2393,173.9,345,7,24.64,18.2
Jeep Compass Sport 2023,Jeep,Compass,Sport,2023,1,9621,Petrol,Manual,First Owner,Dealer,15.7,1368,101.2,245,5,19.95,18.08
Toyota Camry Hybrid 2022,Toyota,Camry,Hybrid,2022,2,10841,Hybrid,Automatic,First Owner,Trustmark Dealer,20.7,2487,163.4,346,5,44.95,38.03
Renault Triber RXZ 2020,Renault,Triber,RXZ,2020,4,57008,Petrol,Automatic,First Owner,Dealer,17.4,999,60.5,113,7,8.97,5.94
Volkswagen Taigun Topline 2021,Volkswagen,Taigun,Topline,2021,3,35037,Petrol,Automatic,First Owner,Trustmark Dealer,19.2,999,66.3,166,5,15.99,12.44
Maruti Baleno Alpha 2022,Maruti,Baleno,Alpha,2022,2,18590,Petrol,Automatic,First Owner,Individual,19.1,1197,84.3,188,5,9.45,7.28
Mahindra XUV700 AX7 L 2022,Mahindra,XUV700,AX7 L,2022,2,20569,Diesel,Automatic,Second Owner,Trustmark Dealer,23.8,2184,170.2,393,7,26.99,19.52
Tata Harrier Adventure 2014,Tata,Harrier,Adventure,2014,10,115358,Diesel,Manual,Second Owner,Individual,24.5,1956,123.5,300,5,17.99,7.34
Renault Triber RXE 2013,Renault,Triber,RXE,2013,11,126669,Petrol,Manual,First Owner,Trustmark Dealer,19.5,999,60.5,138,7,5.99,2.32
Kia Seltos HTX 2015,Kia,Seltos,HTX,2015,9,112935,Petrol,Automatic,Second Owner,Dealer,15.4,1497,108.5,197,5,14.99,5.98
Maruti Dzire VXI 2021,Maruti,Dzire,VXI,2021,3,35230,Petrol,Manual,Second Owner,Individual,19.3,1197,92.7,220,5,7.24,4.72
Mahindra XUV700 AX5 2013,Mahindra,XUV700,AX5,2013,11,133407,Diesel,Automatic,First Owner,Individual,20.7,2184,150.7,302,7,20.99,8.6
Mercedes E-Class Progressive 2016,Mercedes,E-Class,Progressive,2016,8,75663,Petrol,Automatic,First Owner,Dealer,18.5,1991,154.4,339,5,77.5,47.33
Hyundai i20 Asta 2015,Hyundai,i20,Asta,2015,9,115010,Petrol,Automatic,First Owner,Individual,14.4,1197,83.5,198,5,9.64,4.1
Tata Harrier Accomplished 2022,Tata,Harrier,Accomplished,2022,2,26314,Diesel,Automatic,First Owner,Individual,21.6,1956,114.4,216,5,22.49,17.47
Volkswagen Virtus Topline 2015,Volkswagen,Virtus,Topline,2015,9,96749,Petrol,Automatic,First Owner,Dealer,14.7,999,59.5,153,5,16.49,8.52
Maruti WagonR VXI 2022,Maruti,WagonR,VXI,2022,2,23533,Petrol,Manual,First Owner,Trustmark Dealer,16.6,998,65.3,153,5,5.99,4.81
Tata Nexon Pure 2016,Tata,Nexon,Pure,2016,8,87014,Petrol,Manual,First Owner,Individual,20.0,1199,72.1,169,5,9.5,4.46
Jeep Compass Sport 2013,Jeep,Compass,Sport,2013,11,153265,Petrol,Manual,Second Owner,Individual,17.2,1368,98.5,247,5,19.95,6.97
Volkswagen Polo Highline 2023,Volkswagen,Polo,Highline,2023,1,6732,Petrol,Manual,First Owner,Individual,15.6,999,58.2,148,5,9.59,7.98
Honda Amaze S 2013,Honda,Amaze,S,2013,11,120823,Petrol,Manual,First Owner,Individual,18.7,1199,75.8,138,5,7.39,2.72
Kia Seltos HTE 2016,Kia,Seltos,HTE,2016,8,95167,Petrol,Manual,Third Owner,Individual,17.4,1497,82.9,207,5,10.9,4.08
Maruti Swift ZXI+ 2015,Maruti,Swift,ZXI+,2015,9,70860,Petrol,Automatic,First Owner,Individual,21.1,1197,66.6,141,5,8.79,3.73
BMW X1 sDrive20i 2017,BMW,X1,sDrive20i,2017,7,66206,Petrol,Automatic,Third Owner,Individual,16.2,1998,139.3,266,5,45.9,22.46
Tata Tiago XM 2018,Tata,Tiago,XM,2018,6,75160,Petrol,Manual,First Owner,Dealer,21.6,1199,69.4,143,5,6.2,3.49
Maruti Alto K10 VXI 2014,Maruti,Alto K10,VXI,2014,10,116468,Petrol,Manual,First Owner,Individual,15.8,796,52.6,127,5,4.79,1.86
Maruti Alto K10 LXI 2023,Maruti,Alto K10,LXI,2023,1,8531,Petrol,Manual,First Owner,Dealer,14.3,796,51.8,131,5,4.34,3.79
Tata Tiago XE 2016,Tata,Tiago,XE,2016,8,90092,Petrol,Manual,Third Owner,Individual,15.9,1199,94.6,226,5,5.4,2.1
Toyota Urban Cruiser Mid 2019,Toyota,Urban Cruiser,Mid,2019,5,67529,Petrol,Manual,Second Owner,Dealer,17.1,1462,115.7,261,5,10.33,5.85
MG ZS EV Exclusive 2019,MG,ZS EV,Exclusive,2019,5,77070,Electric,Automatic,Second Owner,Trustmark Dealer,250.8,0,80.0,270,5,25.58,14.28
Kia Carnival Premium 2017,Kia,Carnival,Premium,2017,7,68165,Diesel,Automatic,Third Owner,Individual,24.1,2199,137.0,296,8,30.89,14.31
Hyundai i20 Magna 2021,Hyundai,i20,Magna,2021,3,33935,Petrol,Manual,Second Owner,Individual,17.5,1197,90.0,198,5,7.04,4.6
Tata Tiago XM 2023,Tata,Tiago,XM,2023,1,11648,Petrol,Manual,First Owner,Individual,20.9,1199,78.5,188,5,6.2,5.28
Skoda Slavia Ambition 2016,Skoda,Slavia,Ambition,2016,8,97566,Petrol,Automatic,First Owner,Individual,21.2,999,55.8,138,5,14.49,6.65
Maruti Swift VXI 2023,Maruti,Swift,VXI,2023,1,10036,Petrol,Manual,First Owner,Trustmark Dealer,20.4,1197,76.1,191,5,6.99,6.01
Maruti Alto K10 STD 2015,Maruti,Alto K10,STD,2015,9,91346,Petrol,Manual,Third Owner,Dealer,17.5,796,54.9,126,5,3.99,1.52
Hyundai Venue SX(O) 2019,Hyundai,Venue,SX(O),2019,5,37220,Diesel,Manual,First Owner,Individual,23.6,1493,115.0,239,5,11.49,7.02
Tata Tiago XM 2021,Tata,Tiago,XM,2021,3,21823,Petrol,Manual,First Owner,Trustmark Dealer,20.1,1199,91.0,205,5,6.2,4.74
Mahindra XUV700 MX 2014,Mahindra,XUV700,MX,2014,10,108541,Petrol,Manual,Second Owner,Dealer,17.1,1997,153.8,397,7,13.99,5.25
Kia Sonet HTK+ 2016,Kia,Sonet,HTK+,2016,8,138369,Diesel,Manual,Second Owner,Individual,23.1,1493,88.4,206,5,11.49,4.3
Jeep Compass Sport 2022,Jeep,Compass,Sport,2022,2,14019,Petrol,Manual,First Owner,Trustmark Dealer,20.6,1368,105.5,268,5,19.95,16.33
Toyota Innova Crysta GX 2021,Toyota,Innova Crysta,GX,2021,3,36726,Diesel,Manual,Second Owner,Individual,21.4,2393,161.9,359,7,19.77,13.4
Mahindra XUV700 AX5 2013,Mahindra,XUV700,AX5,2013,11,119311,Diesel,Automatic,Second Owner,Trustmark Dealer,26.2,2184,123.2,242,7,20.99,8.52
Maruti Swift ZXI+ 2019,Maruti,Swift,ZXI+,2019,5,49682,Petrol,Automatic,Fourth & Above Owner,Individual,16.8,1197,79.1,143,5,8.79,3.77
Hyundai i20 Sportz 2021,Hyundai,i20,Sportz,2021,3,31513,Petrol,Manual,Third Owner,Individual,15.5,1197,93.6,221,5,8.64,4.99
Hyundai i20 Asta 2015,Hyundai,i20,Asta,2015,9,95481,Petrol,Automatic,Second Owner,Dealer,19.2,1197,75.6,145,5,9.64,3.82
Maruti Dzire LXI 2021,Maruti,Dzire,LXI,2021,3,24805,Petrol,Manual,First Owner,Trustmark Dealer,18.3,1197,74.8,150,5,6.24,4.59
Maruti Dzire ZXI 2021,Maruti,Dzire,ZXI,2021,3,46799,Petrol,Automatic,Third Owner,Dealer,16.0,1197,71.2,154,5,8.99,5.18
Honda City ZX 2021,Honda,City,ZX,2021,3,26368,Petrol,Automatic,First Owner,Dealer,20.7,1498,95.4,174,5,15.49,11.81
Toyota Camry Hybrid 2021,Toyota,Camry,Hybrid,2021,3,38578,Hybrid,Automatic,Second Owner,Individual,19.2,2487,158.5,359,5,44.95,30.95
Honda Amaze V 2020,Honda,Amaze,V,2020,4,51840,Petrol,Automatic,First Owner,Trustmark Dealer,14.8,1199,80.9,173,5,9.49,6.34
Kia Seltos GTX+ 2019,Kia,Seltos,GTX+,2019,5,58635,Diesel,Automatic,Fourth & Above Owner,Dealer,25.7,1493,95.5,196,5,19.65,9.48
Toyota Urban Cruiser Mid 2013,Toyota,Urban Cruiser,Mid,2013,11,140702,Petrol,Manual,Second Owner,Trustmark Dealer,18.9,1462,92.6,227,5,10.33,3.35
Hyundai Venue SX(O) 2022,Hyundai,Venue,SX(O),2022,2,26981,Diesel,Manual,Second Owner,Trustmark Dealer,18.5,1493,106.9,259,5,11.49,8.55
Maruti Celerio VXI 2016,Maruti,Celerio,VXI,2016,8,92886,Petrol,Automatic,First Owner,Dealer,17.1,998,64.9,154,5,6.25,3.02
Honda City V 2018,Honda,City,V,2018,6,81267,Petrol,Manual,First Owner,Dealer,19.5,1498,107.0,244,5,11.89,6.63
Hyundai Creta SX(O) 2017,Hyundai,Creta,SX(O),2017,7,70500,Diesel,Automatic,Second Owner,Trustmark Dealer,20.4,1493,109.8,204,5,18.99,10.11
Maruti Dzire LXI 2020,Maruti,Dzire,LXI,2020,4,67279,Petrol,Manual,Third Owner,Individual,19.6,1197,83.4,192,5,6.24,3.25
Renault Kwid RXT 2023,Renault,Kwid,RXT,2023,1,7264,Petrol,Automatic,First Owner,Trustmark Dealer,16.1,999,63.1,125,5,5.9,5.34
Audi Q5 Premium 2021,Audi,Q5,Premium,2021,3,29313,Petrol,Automatic,Second Owner,Individual,16.7,1984,140.6,319,5,67.81,45.75
Tata Harrier Adventure 2019,Tata,Harrier,Adventure,2019,5,36764,Diesel,Manual,Second Owner,Trustmark Dealer,18.3,1956,119.5,233,5,17.99,10.94
Toyota Glanza V 2022,Toyota,Glanza,V,2022,2,19063,Petrol,Automatic,Second Owner,Trustmark Dealer,21.3,1197,94.5,228,5,8.99,6.74
Hyundai Santro Magna 2018,Hyundai,Santro,Magna,2018,6,71215,Petrol,Manual,First Owner,Dealer,20.0,1086,84.9,196,5,4.77,2.82
Tata Harrier Adventure 2014,Tata,Harrier,Adventure,2014,10,120714,Diesel,Manual,First Owner,Individual,24.6,1956,144.3,345,5,17.99,8.05
